Country,Year,Temperature_change
Libya,1971,-0.25
Libya,1972,0.095
Libya,1973,-0.149
Libya,1974,-0.142
Libya,1975,-0.488
Libya,1976,-0.603
Libya,1977,0.222
Libya,1978,-0.323
Libya,1979,0.145
Libya,1980,-0.114
Libya,1981,-0.064
Libya,1982,0.052
Libya,1983,-0.345
Libya,1984,-0.05
Libya,1985,0.086
Libya,1986,0.242
Libya,1987,-0.028
Libya,1988,0.911
Libya,1989,-0.026
Libya,1990,0.578
Libya,1991,0.302
Libya,1992,-0.348
Libya,1993,0.339
Libya,1994,0.447
Libya,1995,0.321
Libya,1996,0.569
Libya,1997,0.466
Libya,1998,0.758
Libya,1999,1.208
Libya,2000,0.254
Libya,2001,1.237
Libya,2002,0.885
Libya,2003,0.959
Libya,2004,0.729
Libya,2005,0.695
Libya,2006,0.727
Libya,2007,0.718
Libya,2008,0.744
Libya,2009,0.618
Libya,2010,1.921
Libya,2011,0.686
Libya,2012,0.631
Libya,2013,1.022
Libya,2014,1.147
Libya,2015,0.63
Libya,2016,1.54
Libya,2017,0.236
Libya,2018,1.682
Libya,2019,0.903
Libya,2020,1.154
Libya,2021,1.897
Libya,2022,0.556
Libya,2023,1.466
Libya,2024,2.444
Libya,2025,1.403
Morocco,1961,0.726
Morocco,1962,0.645
Morocco,1963,0.262
Morocco,1964,0.548
Morocco,1965,-0.277
Morocco,1966,0.487
Morocco,1967,0.011
Morocco,1968,-0.197
Morocco,1969,-0.068
Morocco,1970,0.015
Morocco,1971,-0.902
Morocco,1972,-1.39
Morocco,1973,-0.015
Morocco,1974,-0.55
Morocco,1975,-0.349
Morocco,1976,-0.941
Morocco,1977,-0.038
Morocco,1978,0.219
Morocco,1979,0.365
Morocco,1980,0.461
Morocco,1981,0.355
Morocco,1982,0.327
Morocco,1983,0.616
Morocco,1984,0.085
Morocco,1985,0.666
Morocco,1986,0.074
Morocco,1987,0.889
Morocco,1988,0.832
Morocco,1989,0.537
Morocco,1990,1.27
Morocco,1991,-0.003
Morocco,1992,0.065
Morocco,1993,0.13
Morocco,1994,0.902
Morocco,1995,1.048
Morocco,1996,0.804
Morocco,1997,1.138
Morocco,1998,1.472
Morocco,1999,0.941
Morocco,2000,0.858
Morocco,2001,1.691
Morocco,2002,1.062
Morocco,2003,1.556
Morocco,2004,1.01
Morocco,2005,1.16
Morocco,2006,1.359
Morocco,2007,0.896
Morocco,2008,1.039
Morocco,2009,1.137
Morocco,2010,2.009
Morocco,2011,1.683
Morocco,2012,1.287
Morocco,2013,1.197
Morocco,2014,1.631
Morocco,2015,1.166
Morocco,2016,1.788
Morocco,2017,2.095
Morocco,2018,0.541
Morocco,2019,1.462
Morocco,2020,2.083
Morocco,2021,1.771
Morocco,2022,2.247
Morocco,2023,2.524
Morocco,2024,2.644
Morocco,2025,2.139
Portugal,1961,0.826
