Country,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha,Mean_Temperature_C,Mean_Dewpoint_C,Mean_Wind_Speed_m_s,Total_Precipitation_mm,Mean_Solar_Radiation_MJ_m2,Mean_Soil_Moisture_0_7cm,Mean_Soil_Moisture_7_28cm,Mean_Soil_Moisture_28_100cm,Mean_Soil_Temperature_7_28cm_C,Mean_Soil_Temperature_28_100cm_C,Agricultural_land_pct,Agriculture_value_added_pct_GDP,Forest_area_pct,GDP_per_capita,Population,Rural_population_pct,Temperature_change,Previous_Year_Yield,Yield_Growth_Rate,Average_Soil_Moisture,Average_Soil_Temperature,Temperature_Yearly_Change,Precipitation_Yearly_Change,Soil_Moisture_Yearly_Change
Algeria,2000,168080.0,217112.0,1291.7,17.070543,8.165996,2.53491,311.5947946831584,462.3499985138576,0.18954515,0.21149121,0.2023669,16.95844,16.968164,16.8032614811021,8.39504849504573,0.662960692602887,1772.92869122761,30903893.0,40.1478760554308,0.765,,,0.20113442,16.963302,,,
Algeria,2001,177220.0,200339.0,1130.5,17.351156,8.849744,2.5263467,400.7952900379896,452.2714542945226,0.19915617,0.21727799,0.19952075,17.315872,17.33507,16.8402092587772,8.886179657499,0.677193984230017,1896.30020878013,31331221.0,39.3822827211464,1.793,1291.7,-0.12479677943794998,0.20531830333333334,17.325471,0.2806129999999989,89.20049535483122,0.0041838833333333325
Algeria,2002,190550.0,191926.0,1007.2,17.139296,8.822309,2.611674,422.7042521238327,450.3718791802724,0.1962124,0.20869672,0.17757235,16.97354,16.920982,16.7335645368512,8.41302644785912,0.691427275857146,1937.46411413019,31750835.0,38.6187341398838,1.187,1130.5,-0.10906678460858021,0.19416049000000002,16.947260999999997,-0.21185999999999794,21.908962085843086,-0.011157813333333322
Algeria,2003,209730.0,167627.0,799.3,17.291044,9.750931,2.5988548,679.2905879616737,429.2010663747788,0.23471521,0.24716677,0.22274671,17.153269,17.197523,16.7548514951254,8.45671950735323,0.705660567484276,2283.77299346126,32175818.0,37.8572092013188,1.518,1007.2,-0.20641382049245438,0.23487623000000002,17.175396,0.15174799999999777,256.58633583784103,0.04071574
Algeria,2004,226337.0,468800.0,2071.2,16.630468,9.407756,2.5400317,596.0526428818703,434.57887657483417,0.22667761,0.2402162,0.22095478,16.403954,16.449976,17.27518536868,7.72217403415641,0.719893859111406,2816.99384960555,32628286.0,37.0976867951275,0.92,799.3,1.5912673589390716,0.22928286333333334,16.426965,-0.6605759999999989,-83.23794507980347,-0.005593366666666683
Algeria,2005,239352.0,316489.0,1322.3,16.432083,8.758182,2.4632976,443.5180904716253,444.9932726621628,0.20962049,0.22100854,0.20866978,16.30458,16.336151,17.3028962019364,6.5592713699842,0.734127150738536,3233.13339634212,33109249.0,36.3401458109856,1.192,2071.2,-0.3615778292777133,0.21309960333333333,16.3203655,-0.1983850000000018,-152.53455241024494,-0.016183260000000005
Algeria,2006,263352.0,264733.0,1005.2,17.388025,9.22993,2.507973,464.7453336119652,440.8714393377304,0.20339209,0.21720047,0.20188151,17.204086,17.160734,17.2903003686381,6.36600271426263,0.748360442365665,3660.66104745322,33623506.0,35.5845651385691,1.333,1322.3,-0.2398094229751191,0.20749135666666665,17.18241,0.9559420000000003,21.22724314033985,-0.0056082466666666775
Algeria,2007,276253.0,208952.0,756.4,16.725702,9.396693,2.50871,564.5524580478668,436.12547302246094,0.22075553,0.23484343,0.21022712,16.569847,16.672697,17.3201105074441,6.32601878401142,0.762593733992795,4167.45169937531,34189416.0,34.8309236675539,1.158,1005.2,-0.24751293274970165,0.22194202666666665,16.621271999999998,-0.6623230000000007,99.80712443590164,0.014450669999999999
Algeria,2008,282460.0,254067.0,899.5,16.83857,9.342842,2.552212,488.2476492226124,441.5803680022557,0.21583986,0.222863,0.18490939,16.541582,16.537277,17.344042590711,5.54975092049628,0.776827025619925,5180.91881514686,34816961.0,34.098514128841,1.129,756.4,0.18918561607615025,0.20787075000000002,16.539429499999997,0.11286800000000241,-76.30480882525444,-0.014071276666666632
Algeria,2009,288442.0,475182.0,1647.4,17.01084,9.342056,2.6784954,560.7881961464882,444.0812267065048,0.22409898,0.24015494,0.21911144,16.589674,16.515465,17.3738527295171,8.01121741497815,0.791060317247055,4235.42990456612,35490445.0,33.4902615440479,0.887,899.5,0.8314619232907172,0.22778845333333334,16.552569499999997,0.17227000000000103,72.54054692387581,0.019917703333333314
Algeria,2010,294200.0,311252.0,1058.0,17.008894,9.437602,2.7408879,538.8376961499453,432.3738784790039,0.21808517,0.23019992,0.20842741,16.76312,16.874582,17.3713335628574,7.53171561491377,0.805293608874184,4912.78585503672,36188236.0,32.8764942132541,2.182,1647.4,-0.35777588928007775,0.21890416666666668,16.818851000000002,-0.0019460000000002253,-21.95049999654293,-0.008884286666666658
Algeria,2011,311930.0,610776.0,1958.1,17.021849,9.868256,2.4856749,581.7850676476955,435.3958594004313,0.22215165,0.23645158,0.206958,16.729456,16.749527,17.3772116183966,7.08352512171367,0.808484553309765,5916.31364364343,36903376.0,32.2655992492422,1.323,1058.0,0.8507561436672968,0.22185374333333333,16.7394915,0.012954999999998051,42.94737149775028,0.002949576666666648
Algeria,2012,328884.0,393840.0,1197.5,17.28466,9.076617,2.5280714,485.9525152146816,444.9516092936198,0.21129037,0.22420187,0.2026148,17.05629,17.023634,17.381490003107,8.02697167412095,0.811675497745346,6033.64884689543,37646166.0,31.6578741446325,1.081,1958.1,-0.3884377713089219,0.21270234666666665,17.039962000000003,0.26281099999999924,-95.83255243301392,-0.009151396666666672
Algeria,2013,348196.0,578740.0,1662.1,16.61804,9.499967,2.7582283,594.3409805893898,434.64863634109497,0.22301786,0.23444559,0.20172215,16.459528,16.515753,17.3955322579291,9.12007464194984,0.814866442180927,5979.60138960585,38414171.0,31.0536163920723,1.108,1197.5,0.38797494780793307,0.21972853333333334,16.487640499999998,-0.6666199999999982,108.38846537470818,0.007026186666666684
Algeria,2014,383443.0,482860.0,1259.3,17.549204,9.350975,2.71325,524.2458082810044,447.32013607025146,0.21189594,0.22552133,0.19345741,17.25117,17.220167,17.3952656461243,9.40707440856373,0.818057386616507,6094.69392314956,39205031.0,30.4531234842385,1.603,1662.1,-0.24234402262198418,0.21029156000000002,17.2356685,0.931163999999999,-70.09517230838537,-0.00943697333333332
Algeria,2015,406571.0,653725.0,1607.9,17.197245,9.335754,2.508382,442.1073882766068,450.0620398918788,0.20887671,0.22110377,0.19686699,17.05967,17.104986,17.4059228102468,10.5327896965018,0.821247986241997,4685.05902729002,40019529.0,29.8566929138388,1.05,1259.3,0.2768204558087828,0.20894915666666666,17.082328,-0.3519590000000008,-82.13842000439763,-0.001342403333333353
Algeria,2016,423683.0,696431.48,1643.8,17.530983,9.391093,2.5703876,453.4153050780296,447.9133498271306,0.20024197,0.20948833,0.1781124,17.440859,17.417368,17.3655321884285,11.0683130545794,0.821247986241997,4424.98529027556,40850721.0,29.2646221736149,1.685,1607.9,0.022327259157907786,0.19594756666666666,17.4291135,0.3337380000000003,11.307916801422778,-0.013001590000000007
Algeria,2017,432959.0,684460.56,1580.9,17.534063,8.682216,2.5495002,402.0676399022341,453.2256246805191,0.19056801,0.20417702,0.17023768,17.603622,17.677748,17.3550108093197,11.0318809304784,0.815789794104397,4554.66753957828,41689299.0,28.6772087563449,1.431,1643.8,-0.03826499574157427,0.18832757,17.640685,0.003080000000000638,-51.3476651757955,-0.007619996666666656
Algeria,2018,431009.0,860784.44,1997.1,16.770037,9.655217,2.595495,640.1753355264664,433.11455086867016,0.23473759,0.24432565,0.19558705,16.644007,16.670996,17.3565679895505,11.2438301354995,0.810331601966797,4577.21029180491,42505035.0,28.094750154847,1.15,1580.9,0.26326775887152865,0.22488343,16.6575015,-0.7640260000000012,238.1076956242323,0.036555859999999996
Algeria,2019,431506.0,868754.0,2013.3,17.141577,9.040581,2.7176898,543.5285462737083,444.6375826994578,0.21701051,0.23138149,0.1966352,17.10584,17.038694,17.3469816184806,11.4791798857164,0.814110692183026,4468.45341883656,43294546.0,27.5175438619825,1.117,1997.1,0.008111762054979765,0.21500906666666667,17.072267,0.3715400000000031,-96.64678925275803,-0.00987436333333333
Algeria,2020,438828.0,1079508.0,2460.0,17.701418,8.929883,2.5142367,413.5911098122597,450.7945022980372,0.18978374,0.205011,0.16958606,17.78041,17.784071,17.3352255074022,12.8341693887186,0.818309303282474,3743.5419522929,44042091.0,26.9458873706605,1.881,2013.3,0.2218745343465951,0.18812693333333333,17.7822405,0.5598409999999987,-129.93743646144867,-0.026882133333333336
