Country,Country_Code,Year,Agricultural_land_pct,Agriculture_value_added_pct_GDP,Forest_area_pct,GDP_per_capita,Population,Rural_population_pct
Algeria,DZA,2000,16.8032614811021,8.39504849504573,0.662960692602887,1772.92869122761,30903893.0,40.1478760554308
Algeria,DZA,2001,16.8402092587772,8.886179657499,0.677193984230017,1896.30020878013,31331221.0,39.3822827211464
Algeria,DZA,2002,16.7335645368512,8.41302644785912,0.691427275857146,1937.46411413019,31750835.0,38.6187341398838
Algeria,DZA,2003,16.7548514951254,8.45671950735323,0.705660567484276,2283.77299346126,32175818.0,37.8572092013188
Algeria,DZA,2004,17.27518536868,7.72217403415641,0.719893859111406,2816.99384960555,32628286.0,37.0976867951275
Algeria,DZA,2005,17.3028962019364,6.5592713699842,0.734127150738536,3233.13339634212,33109249.0,36.3401458109856
Algeria,DZA,2006,17.2903003686381,6.36600271426263,0.748360442365665,3660.66104745322,33623506.0,35.5845651385691
Algeria,DZA,2007,17.3201105074441,6.32601878401142,0.762593733992795,4167.45169937531,34189416.0,34.8309236675539
Algeria,DZA,2008,17.344042590711,5.54975092049628,0.776827025619925,5180.91881514686,34816961.0,34.098514128841
Algeria,DZA,2009,17.3738527295171,8.01121741497815,0.791060317247055,4235.42990456612,35490445.0,33.4902615440479
Algeria,DZA,2010,17.3713335628574,7.53171561491377,0.805293608874184,4912.78585503672,36188236.0,32.8764942132541
Algeria,DZA,2011,17.3772116183966,7.08352512171367,0.808484553309765,5916.31364364343,36903376.0,32.2655992492422
Algeria,DZA,2012,17.381490003107,8.02697167412095,0.811675497745346,6033.64884689543,37646166.0,31.6578741446325
Algeria,DZA,2013,17.3955322579291,9.12007464194984,0.814866442180927,5979.60138960585,38414171.0,31.0536163920723
Algeria,DZA,2014,17.3952656461243,9.40707440856373,0.818057386616507,6094.69392314956,39205031.0,30.4531234842385
Algeria,DZA,2015,17.4059228102468,10.5327896965018,0.821247986241997,4685.05902729002,40019529.0,29.8566929138388
Algeria,DZA,2016,17.3655321884285,11.0683130545794,0.821247986241997,4424.98529027556,40850721.0,29.2646221736149
Algeria,DZA,2017,17.3550108093197,11.0318809304784,0.815789794104397,4554.66753957828,41689299.0,28.6772087563449
Algeria,DZA,2018,17.3565679895505,11.2438301354995,0.810331601966797,4577.21029180491,42505035.0,28.094750154847
Algeria,DZA,2019,17.3469816184806,11.4791798857164,0.814110692183026,4468.45341883656,43294546.0,27.5175438619825
Algeria,DZA,2020,17.3352255074022,12.8341693887186,0.818309303282474,3743.5419522929,44042091.0,26.9458873706605
Algeria,DZA,2021,17.3306070351928,11.2354345605089,0.822088053271978,4160.55926736925,44761099.0,26.3800781738427
Algeria,DZA,2022,17.351348174024,10.6470638553472,0.826286664371426,4960.30334332888,45477389.0,25.8204137645486
Algeria,DZA,2023,17.359031632336,13.3692450434856,0.830314224054683,5370.477235078,46164219.0,25.267191635862
Algeria,DZA,2024,17.359031632336,13.9597061505767,0.830314224054683,5752.99076651465,46814308.0,24.7207092809382
Egypt,EGY,2000,3.30604249334472,15.5380770361658,0.0594806368978854,1366.09274372613,73083284.0,57.2660601067481
Egypt,EGY,2001,3.35325732080968,15.3512684694731,0.060126575920438,1295.1374184163,74652029.0,57.2164493234667
Egypt,EGY,2002,3.4396504093626,15.4048561625759,0.0607725149429906,1116.82884626213,76239137.0,57.1652370516083
Egypt,EGY,2003,3.4245818474057,15.2867065868263,0.0614184539655432,1031.27556291284,77853548.0,57.1165314466208
Egypt,EGY,2004,3.49389723240745,14.2699361219864,0.0620643929880958,991.255689145253,79477443.0,57.0744406639524
Egypt,EGY,2005,3.53910291827817,13.9816898792943,0.0627103320106484,1105.53920713903,81101004.0,57.0430728590512
Egypt,EGY,2006,3.54914862624943,13.2372025254978,0.0633562710332011,1298.97900203124,82700403.0,57.0270008319896
Egypt,EGY,2007,3.55417148023507,13.4201262083781,0.0640022100557537,1547.74170735909,84276225.0,57.0270333655491
Egypt,EGY,2008,3.55818976342358,12.6302400893356,0.0646481490783063,1896.21594269779,85864789.0,57.0391010879127
Egypt,EGY,2009,3.70586167060124,12.9979466513145,0.0652940881008589,2161.63964573927,87501636.0,57.0616529375096
Egypt,EGY,2010,3.68777939625295,13.3407591579645,0.0659400271234115,2455.08194645282,89196072.0,57.0942824479846
Egypt,EGY,2011,3.63654628559948,13.8691050980964,0.0624802852981064,2590.64384891965,91093059.0,57.1365831529823
Egypt,EGY,2012,3.71289366618112,11.2727652713919,0.0590205434728013,2996.0677072015,93161001.0,57.1881485861475
Egypt,EGY,2013,3.74802350695665,11.2743496022361,0.0555608016474961,3025.52563552448,95333553.0,57.2485722811249
Egypt,EGY,2014,3.73217137977799,11.3377089201878,0.052101059822191,3133.39102265541,97528654.0,57.3174477715592
