Country,Year,Area_Harvested_ha,Production_tonnes,Yield_kg_per_ha,Mean_Temperature_C,Mean_Dewpoint_C,Mean_Wind_Speed_m_s,Total_Precipitation_mm,Total_Solar_Radiation_MJ_m2,Mean_Soil_Moisture_0_7cm,Mean_Soil_Moisture_7_28cm,Mean_Soil_Moisture_28_100cm,Mean_Soil_Temperature_7_28cm_C,Mean_Soil_Temperature_28_100cm_C,Agricultural_land_pct,Agriculture_value_added_pct_GDP,Forest_area_pct,GDP_per_capita,Population,Rural_population_pct,Temperature_change
Egypt,2002,49532.0,336442.0,6792.4,20.906805,12.309339,3.8670523,40.31238177907653,5038.796558380127,0.048182234,0.14513274,0.13935474,22.510742,22.49531,3.4396504093626,15.4048561625759,0.0607725149429906,1116.82884626213,76239137.0,57.1652370516083,0.816
Egypt,2003,49873.0,204722.0,4104.9,20.702637,11.70959,4.047192,31.571039584232494,5067.974201202393,0.044890314,0.1419978,0.1453512,22.377127,22.423273,3.4245818474057,15.2867065868263,0.0614184539655432,1031.27556291284,77853548.0,57.1165314466208,0.716
Egypt,2004,49086.0,315193.0,6421.2,20.635359,11.619397,3.9701822,33.537539053475484,5062.294351100922,0.04558355,0.1437845,0.15002237,22.31703,22.324722,3.49389723240745,14.2699361219864,0.0620643929880958,991.255689145253,79477443.0,57.0744406639524,0.637
Egypt,2005,49000.0,310000.0,6326.5,20.532211,11.558248,3.8612869,30.485437598545104,5070.775724887848,0.045199458,0.14240748,0.15142839,22.263374,22.294672,3.53910291827817,13.9816898792943,0.0627103320106484,1105.53920713903,81101004.0,57.0430728590512,0.511
Egypt,2006,49000.0,500000.0,10204.1,20.555655,11.725009,3.7713375,36.983362884260714,5061.481893539429,0.04541861,0.14226726,0.15388893,22.25841,22.270813,3.54914862624943,13.2372025254978,0.0633562710332011,1298.97900203124,82700403.0,57.0270008319896,0.712
Egypt,2007,46540.0,507053.0,10895.0,20.833208,12.013593,3.9157372,36.01274499041028,5051.78155040741,0.044953305,0.14139445,0.15662253,22.377823,22.358124,3.55417148023507,13.4201262083781,0.0640022100557537,1547.74170735909,84276225.0,57.0270333655491,0.558
Egypt,2008,46200.0,480071.0,10391.1,21.226004,12.016739,3.7855566,39.89654277195223,5087.736688613892,0.045901354,0.14039333,0.15914376,22.797506,22.777292,3.55818976342358,12.6302400893356,0.0646481490783063,1896.21594269779,85864789.0,57.0391010879127,0.87
Egypt,2009,46274.0,449009.0,9703.3,21.132288,11.568805,3.9664204,27.505915501271375,5112.094205856323,0.04152306,0.13827501,0.15900867,22.7491,22.748049,3.70586167060124,12.9979466513145,0.0652940881008589,2161.63964573927,87501636.0,57.0616529375096,0.853
Egypt,2010,50161.0,390932.0,7793.5,22.006647,12.468686,3.922863,21.759400223381817,5117.744258880615,0.04176867,0.11049953,0.099722005,23.707605,23.735558,3.68777939625295,13.3407591579645,0.0659400271234115,2455.08194645282,89196072.0,57.0942824479846,2.273
Egypt,2011,52668.0,459650.0,8727.3,20.514845,11.814876,3.7436068,55.86505318968557,4998.0108852386475,0.046993922,0.119740926,0.10551857,22.331766,22.511972,3.63654628559948,13.8691050980964,0.0624802852981064,2590.64384891965,91093059.0,57.1365831529823,0.614
Egypt,2012,57551.0,563070.0,9783.8,21.021828,11.756579,3.9226217,35.81889827316627,5050.013304233551,0.04156173,0.1200599,0.11241341,22.835243,22.724699,3.71289366618112,11.2727652713919,0.0590205434728013,2996.0677072015,93161001.0,57.1881485861475,0.941
Egypt,2013,61711.0,541790.0,8779.5,20.996483,11.286339,4.047728,33.21547622047365,5127.086925029755,0.04136221,0.12231493,0.12030337,22.782745,22.857468,3.74802350695665,11.2743496022361,0.0555608016474961,3025.52563552448,95333553.0,57.2485722811249,1.041
Egypt,2014,60837.0,565669.0,9298.1,21.21727,12.033849,3.6767366,35.04754954832606,5048.32030248642,0.040311825,0.12569176,0.123452,23.131882,23.086847,3.73217137977799,11.3377089201878,0.052101059822191,3133.39102265541,97528654.0,57.3174477715592,1.247
Egypt,2015,69707.0,698927.0,10026.6,21.037455,11.8536,3.8811858,64.58458621660247,4998.533835411072,0.042110994,0.06168979,0.06241819,23.017601,23.187662,3.80719985936009,11.3940627685257,0.0486413179968858,3306.98159414141,99597342.0,57.3943685910952,1.198
